country,year,decade,renewables_pct,fossil_pct,gdp_per_capita,log_gdp_per_capita,energy_consumption
Azerbaijan,2005,2000,4.864,95.136,7446.473003454129,8.91549577691871,166.837
Azerbaijan,2006,2000,4.114,95.886,9989.967957545188,9.209336664184521,164.092
Azerbaijan,2007,2000,4.173,95.827,12453.597294749292,9.429764799495215,151.071
Azerbaijan,2008,2000,3.906,96.094,13768.86956968062,9.530165494647717,151.163
Azerbaijan,2009,2000,4.673,95.327,15035.946739431301,9.618199062474503,130.168
Azerbaijan,2010,2010,7.021,92.979,15775.545249884879,9.666216250988624,128.439
Azerbaijan,2011,2010,4.771,95.229,15771.17649788962,9.665939280718424,145.739
Azerbaijan,2012,2010,3.133,96.867,15912.283153830575,9.674846615362318,150.091
Azerbaijan,2013,2010,2.612,97.388,16614.797581903236,9.718048997861834,154.212
Azerbaijan,2014,2010,2.288,97.712,16854.958248331244,9.732400150556296,157.241
Azerbaijan,2015,2010,2.596,97.404,16819.36615591387,9.73028624886408,171.826
Azerbaijan,2016,2010,3.145,96.855,16113.072864853735,9.68738620067926,170.192
Azerbaijan,2017,2010,2.868,97.132,15975.875488814276,9.678835081425714,166.954
Azerbaijan,2018,2010,2.817,97.183,16100.400869759922,9.686599449405438,176.167
Azerbaijan,2019,2010,2.451,97.549,16384.311946422342,9.704079567356612,185.891
Azerbaijan,2020,2020,1.79,98.21,15586.489469870365,9.654159758367625,184.929
Azerbaijan,2021,2020,1.93,98.07,16374.68097964389,9.703491578154521,197.549
Azerbaijan,2022,2020,2.188,97.812,17034.028419550774,9.742968294101113,210.286
Bangladesh,1971,1970,3.634,96.366,919.0203759686862,6.823308294001827,13.407
Bangladesh,1972,1970,3.207,96.793,796.1351003485757,6.679768895498885,15.191
Bangladesh,1973,1970,4.734,95.266,777.6086342914682,6.6562233568544755,19.48
Bangladesh,1974,1970,3.26,96.74,857.5736124696846,6.754107020801282,20.747
Bangladesh,1975,1970,5.699,94.301,824.5728362494109,6.7148654780001715,21.331
Bangladesh,1976,1970,5.532,94.468,840.0445572078243,6.733454934725589,24.893
Bangladesh,1977,1970,4.787,95.213,827.0007800675696,6.7178056382730285,25.438
Bangladesh,1978,1970,5.219,94.781,866.7290028234708,6.7647263590896625,27.024
Bangladesh,1979,1970,5.492,94.508,888.0295398723711,6.789005008060921,29.795
Bangladesh,1980,1980,4.674,95.326,874.2136504960692,6.773324797150668,34.75
Bangladesh,1981,1980,4.727,95.273,880.084000036145,6.780017357503281,36.84
Bangladesh,1982,1980,3.583,96.417,867.239744830404,6.765315460851036,40.641
Bangladesh,1983,1980,4.589,95.411,885.8871870590622,6.7865896141223585,40.19
Bangladesh,1984,1980,5.757,94.243,909.9272645141774,6.813364667211095,43.443
Bangladesh,1985,1980,4.264,95.736,914.8539617715334,6.818764447916073,48.274
Bangladesh,1986,1980,2.383,97.617,932.9856811141175,6.8383898535850065,52.537
Bangladesh,1987,1980,2.481,97.519,949.5399268655502,6.855977579779569,57.985
Bangladesh,1988,1980,2.909,97.091,955.6170874143041,6.862357296637855,64.576
Bangladesh,1989,1980,3.68,96.32,960.7795040115803,6.867744938327144,69.614
Bangladesh,1990,1990,3.332,96.668,1004.2240491452932,6.9119704318751785,73.856
Bangladesh,1991,1990,3.274,96.726,1031.1498271438684,6.938429795615719,71.255
Bangladesh,1992,1990,2.851,97.149,1064.4484198048578,6.970212028302686,77.711
Bangladesh,1993,1990,1.979,98.021,1099.6761757487234,7.002771029763512,85.436
Bangladesh,1994,1990,2.599,97.401,1142.0061870974446,7.040541807974874,90.69
Bangladesh,1995,1990,0.965,99.035,1189.4993892351322,7.081287816279351,107.109
Bangladesh,1996,1990,1.832,98.168,1241.599890959781,7.124156061606609,112.202
Bangladesh,1997,1990,1.696,98.304,1299.7809016441838,7.169950992048857,117.891
Bangladesh,1998,1990,1.916,98.084,1357.024091921136,7.213049413487984,125.559
Bangladesh,1999,1990,1.824,98.176,1421.5247793463632,7.2594853627691345,126.985
Bangladesh,2000,2000,1.625,98.375,1492.6257739058635,7.308292112339882,136.255
Bangladesh,2001,2000,1.831,98.169,1558.1560272842214,7.351258367298471,155.691
Bangladesh,2002,2000,1.454,98.546,1628.7291271224635,7.395555313082933,156.245
